Date,Open,High,Low,Close,Adj Close,Volume
2017-06-21,127.110001,127.639999,126.910004,127.559998,115.140579,5914800
2017-06-22,127.709999,127.870003,127.309998,127.839996,115.393280,6608100
2017-06-23,127.470001,127.900002,127.400002,127.779999,115.339180,4329900
2017-06-26,128.270004,128.570007,128.160004,128.259995,115.772453,5541600
2017-06-27,127.430000,127.489998,126.620003,126.889999,114.535828,8354200
2017-06-28,126.669998,126.709999,125.980003,126.470001,114.156731,7357900
2017-06-29,125.010002,125.720001,124.900002,125.410004,113.199898,9115800
2017-06-30,125.190002,125.389999,124.849998,125.120003,112.938148,10189800
2017-07-03,125.000000,125.040001,124.019997,124.459999,112.574577,11021100
2017-07-05,124.199997,124.650002,124.120003,124.489998,112.601700,11394500
2017-07-06,123.519997,123.639999,122.930000,123.459999,111.670021,10853100
2017-07-07,122.839996,123.029999,122.589996,122.720001,111.000687,9401800
2017-07-10,122.870003,123.099998,122.680000,122.900002,111.163490,3859200
2017-07-11,122.860001,123.330002,122.709999,123.110001,111.353455,4425600
2017-07-12,123.889999,124.040001,123.489998,123.959999,112.122299,7839900
2017-07-13,123.599998,123.650002,122.809998,123.180000,111.416801,7449300
2017-07-14,124.099998,124.160004,123.120003,123.330002,111.552483,6566800
2017-07-17,123.330002,123.989998,123.269997,123.669998,111.859978,4737300
2017-07-18,124.430000,124.769997,124.230003,124.750000,112.836838,9163000
2017-07-19,124.779999,125.010002,124.589996,124.800003,112.882072,5140900
2017-07-20,125.489998,125.730003,124.970001,125.160004,113.207710,12239100
2017-07-21,125.730003,126.029999,125.570000,125.690002,113.687096,6201500
2017-07-24,125.449997,125.660004,125.160004,125.199997,113.243874,5378500
2017-07-25,124.139999,124.190002,123.470001,123.570000,111.769554,9743300
2017-07-26,123.269997,124.089996,123.080002,123.769997,111.950417,8459500
2017-07-27,123.110001,123.379997,122.820000,123.160004,111.398705,6390800
2017-07-28,123.269997,123.989998,123.260002,123.889999,112.058968,5491800
2017-07-31,123.459999,124.050003,123.400002,124.040001,112.194649,5464600
2017-08-01,123.180000,124.709999,123.160004,124.639999,112.982391,9676800
2017-08-02,124.769997,125.169998,124.680000,124.709999,113.045853,5745600
2017-08-03,125.290001,126.019997,125.260002,126.000000,114.215172,10324500
2017-08-04,125.150002,125.180000,124.440002,124.930000,113.245262,8485500
2017-08-07,124.839996,125.099998,124.610001,125.070000,113.372162,4684600
2017-08-08,124.870003,124.980003,124.150002,124.620003,112.964264,6197400
2017-08-09,125.930000,125.949997,125.199997,125.300003,113.580650,9221800
2017-08-10,125.620003,126.440002,125.519997,126.370003,114.550568,10378200
2017-08-11,125.769997,126.459999,125.550003,126.430000,114.604950,5717800
2017-08-14,125.989998,126.279999,125.730003,125.779999,114.015747,5111000
2017-08-15,124.730003,125.540001,124.709999,125.250000,113.535332,7473200
2017-08-16,124.830002,126.019997,124.809998,125.709999,113.952309,5283800
2017-08-17,125.699997,126.680000,125.510002,126.650002,114.804398,9364700
2017-08-18,126.980003,127.150002,126.260002,126.620003,114.777199,8382500
2017-08-21,126.769997,127.019997,126.500000,126.930000,115.058212,7669800
2017-08-22,126.790001,126.809998,126.269997,126.440002,114.614006,6140700
2017-08-23,127.040001,127.309998,126.760002,127.300003,115.393608,7446400
2017-08-24,126.879997,127.309998,126.720001,126.830002,114.967552,5569400
2017-08-25,127.019997,127.449997,126.870003,127.320000,115.411713,7303300
2017-08-28,126.919998,127.389999,126.730003,127.239998,115.339226,4448500
2017-08-29,128.460007,128.520004,127.309998,127.650002,115.710831,7659400
2017-08-30,127.459999,127.739998,127.339996,127.610001,115.674583,4735200
2017-08-31,127.639999,128.029999,127.570000,127.989998,116.019073,7978400
2017-09-01,127.309998,127.339996,126.430000,126.750000,115.131592,14128600
2017-09-05,127.690002,128.800003,127.690002,128.759995,116.957359,15215700
2017-09-06,128.720001,129.000000,127.739998,127.970001,116.239769,9066400
2017-09-07,128.330002,129.570007,128.330002,129.279999,117.429688,13618900
2017-09-08,129.110001,129.160004,128.570007,129.000000,117.175392,9808500
2017-09-11,127.870003,128.050003,127.260002,127.459999,115.776535,17856700
2017-09-12,127.050003,127.089996,126.529999,126.790001,115.167953,7557400
2017-09-13,126.910004,126.919998,126.279999,126.290001,114.713768,6740000
2017-09-14,126.370003,126.830002,126.330002,126.809998,115.186096,6674500
2017-09-15,127.000000,127.010002,126.540001,126.860001,115.231506,9769200
2017-09-18,126.500000,126.570000,125.839996,126.129997,114.568398,6863000
2017-09-19,126.279999,126.309998,125.730003,125.820000,114.286850,5554900
2017-09-20,125.970001,126.050003,125.330002,125.910004,114.368614,8037000
2017-09-21,126.160004,126.559998,125.820000,125.839996,114.304993,6147800
2017-09-22,126.500000,126.730003,126.059998,126.199997,114.632019,5660700
2017-09-25,126.320000,127.269997,126.199997,126.989998,115.349617,9679000
2017-09-26,126.769997,126.889999,126.430000,126.760002,115.140701,7251900
2017-09-27,124.870003,125.300003,124.610001,124.849998,113.405739,12145700
2017-09-28,124.209999,124.650002,123.970001,124.480003,113.069687,8883700
2017-09-29,124.760002,125.029999,124.269997,124.760002,113.324020,11285500
2017-10-02,124.809998,125.000000,124.239998,124.279999,113.116501,7860700
2017-10-03,123.919998,124.510002,123.919998,124.400002,113.225716,6219800
2017-10-04,124.529999,124.589996,123.879997,124.410004,113.234833,7447000
2017-10-05,124.269997,124.300003,123.690002,123.940002,112.807037,8180300
2017-10-06,123.290001,124.099998,123.029999,123.589996,112.488480,10375000
2017-10-09,123.779999,124.059998,123.639999,123.980003,112.843460,3590900
2017-10-10,124.139999,124.870003,124.019997,124.180000,113.025467,6666800
2017-10-11,124.570000,124.660004,124.260002,124.419998,113.243904,4385900
2017-10-12,124.550003,124.980003,124.239998,124.949997,113.726303,7141600
2017-10-13,125.580002,125.940002,125.169998,125.849998,114.545486,7746900
2017-10-16,125.529999,125.900002,125.379997,125.760002,114.463562,5737300
2017-10-17,125.389999,126.089996,125.389999,125.919998,114.609177,4969600
2017-10-18,125.050003,125.180000,124.680000,125.089996,113.853745,5943800
2017-10-19,125.739998,126.010002,125.269997,125.309998,114.053970,8966500
2017-10-20,124.000000,124.279999,123.639999,123.980003,112.843460,12326900
2017-10-23,124.160004,124.489998,124.019997,124.199997,113.043686,6871100
2017-10-24,123.370003,123.690002,123.150002,123.430000,112.342873,6842800
2017-10-25,122.529999,122.980003,122.419998,122.839996,111.805862,9961400
2017-10-26,123.059998,123.059998,122.430000,122.430000,111.432663,8179400
2017-10-27,122.940002,123.330002,122.750000,123.239998,112.169899,10480900
2017-10-30,123.860001,124.459999,123.559998,124.419998,113.243904,9051600
2017-10-31,124.529999,124.660004,124.400002,124.459999,113.280334,4424300
2017-11-01,124.349998,125.139999,124.300003,124.750000,113.784714,8940400
2017-11-02,125.000000,125.519997,124.919998,125.300003,114.286377,7222700
2017-11-03,125.470001,125.699997,125.139999,125.639999,114.596497,10984100
2017-11-06,125.930000,126.220001,125.720001,126.110001,115.025177,6246700
2017-11-07,126.230003,126.779999,126.129997,126.639999,115.508606,6422700
2017-11-08,126.589996,126.800003,126.209999,126.360001,115.253220,3356200
2017-11-09,125.870003,126.239998,125.550003,126.000000,114.924835,6280400
2017-11-10,124.709999,124.839996,123.959999,124.099998,113.191864,11981000
2017-11-13,124.800003,124.809998,124.309998,124.360001,113.429001,5880800
2017-11-14,124.769997,125.239998,124.769997,125.199997,114.195168,6195900
2017-11-15,126.059998,126.669998,125.639999,126.559998,115.435638,9568200
2017-11-16,126.010002,126.330002,125.449997,125.459999,114.432320,5894900
2017-11-17,126.070000,126.440002,125.959999,126.389999,115.280548,6938800
2017-11-20,125.910004,126.379997,125.910004,126.339996,115.234962,4232300
2017-11-21,127.089996,127.290001,126.309998,126.739998,115.599815,5818400
2017-11-22,126.620003,127.199997,126.510002,127.150002,115.973755,4140700
2017-11-24,126.930000,127.029999,126.690002,126.800003,115.654541,3141400
2017-11-27,126.860001,127.050003,126.419998,126.620003,115.490356,6079900
2017-11-28,126.769997,127.180000,126.470001,126.790001,115.645393,5983000
2017-11-29,125.559998,125.680000,125.099998,125.540001,114.505264,14547100
2017-11-30,125.309998,125.519997,124.440002,125.120003,114.122200,9630000
2017-12-01,125.870003,127.690002,125.099998,126.550003,115.662231,24583100
2017-12-04,125.919998,126.669998,125.809998,126.610001,115.717079,9609200
2017-12-05,126.470001,127.500000,126.449997,127.239998,116.292870,10958900
2017-12-06,127.870003,128.229996,127.660004,127.680000,116.695045,11834200
2017-12-07,127.930000,128.100006,126.300003,126.680000,115.781036,13056800
2017-12-08,126.589996,126.739998,126.239998,126.690002,115.790215,4786100
2017-12-11,126.860001,127.089996,126.410004,126.430000,115.552551,3863800
2017-12-12,126.169998,126.410004,125.669998,126.379997,115.506851,7502400
2017-12-13,126.809998,127.389999,126.589996,127.330002,116.375137,8532900
2017-12-14,127.050003,127.980003,126.790001,127.870003,116.868668,6885000
2017-12-15,127.809998,128.589996,127.559998,128.350006,117.307396,7239400
2017-12-18,127.970001,128.000000,126.910004,127.180000,116.238045,7239700
2017-12-19,126.320000,126.379997,125.070000,125.529999,114.730003,11045800
2017-12-20,124.309998,124.709999,123.949997,124.139999,113.459549,10005800
2017-12-21,124.029999,124.860001,124.000000,124.599998,114.120857,7026900
2017-12-22,124.699997,124.839996,124.529999,124.769997,114.276566,3974300
2017-12-26,124.980003,125.529999,124.970001,125.139999,114.615425,3168400
2017-12-27,125.709999,126.980003,125.699997,126.769997,116.108345,9059700
2017-12-28,126.529999,126.830002,126.370003,126.660004,116.007660,5297100
2017-12-29,126.500000,127.120003,126.480003,126.860001,116.190765,7580500
2018-01-02,126.489998,126.510002,125.070000,125.489998,114.936020,16238200
2018-01-03,126.000000,126.199997,125.489998,126.089996,115.485550,8605100
2018-01-04,125.650002,126.160004,125.370003,126.070000,115.467224,9217900
2018-01-05,125.870003,126.180000,125.360001,125.709999,115.137512,10915400
2018-01-08,125.989998,126.029999,125.169998,125.629997,115.064247,8850600
2018-01-09,124.809998,124.830002,123.809998,123.949997,113.525490,16226400
2018-01-10,122.809998,123.930000,122.660004,123.800003,113.388107,14302600
2018-01-11,123.510002,124.589996,123.309998,124.309998,113.855263,12511000
2018-01-12,124.099998,124.790001,123.910004,124.519997,114.047577,9987100
2018-01-16,125.169998,125.279999,124.559998,125.040001,114.523827,9125900
2018-01-17,125.080002,125.639999,124.599998,124.870003,114.368134,8327000
2018-01-18,123.930000,124.269997,123.540001,123.709999,113.305733,10843900
2018-01-19,123.400002,123.559998,122.980003,123.059998,112.710373,11374300
2018-01-22,123.449997,123.709999,122.989998,123.180000,112.820282,8984700
2018-01-23,123.809998,124.199997,123.239998,123.709999,113.305733,12325700
2018-01-24,122.849998,123.129997,122.540001,123.040001,112.692070,9038900
2018-01-25,123.160004,124.150002,122.800003,124.050003,113.617104,12173300
2018-01-26,123.879997,123.910004,123.099998,123.589996,113.195786,6462900
2018-01-29,122.970001,122.970001,122.300003,122.730003,112.408119,12223000
2018-01-30,122.279999,122.370003,121.699997,122.010002,111.748672,12064400
2018-01-31,122.870003,122.930000,121.940002,122.730003,112.408119,18045100
2018-02-01,122.480003,122.529999,120.629997,120.699997,110.779015,18632800
2018-02-02,120.150002,120.260002,119.239998,119.580002,109.751091,23944400
2018-02-05,119.169998,121.820000,118.639999,120.709999,110.788223,28606200
2018-02-06,120.419998,120.870003,119.720001,119.959999,110.099861,10935400
2018-02-07,120.129997,120.330002,118.559998,118.820000,109.053551,16271100
2018-02-08,118.010002,119.180000,117.849998,118.690002,108.934212,15155100
2018-02-09,118.110001,119.089996,117.790001,117.940002,108.245895,15661600
2018-02-12,118.559998,119.300003,118.190002,118.459999,108.723167,10944600
2018-02-13,118.610001,119.010002,118.389999,118.989998,109.209602,8157600
2018-02-14,118.459999,118.540001,117.470001,117.669998,107.998062,12043300
2018-02-15,118.190002,118.800003,117.989998,118.070000,108.365196,8222400
2018-02-16,119.040001,119.209999,118.339996,118.709999,108.952606,8454100
2018-02-20,118.279999,118.510002,117.779999,118.190002,108.475311,8268800
2018-02-21,118.239998,118.290001,116.510002,116.739998,107.144485,12054300
2018-02-22,117.239998,117.660004,117.000000,117.089996,107.465736,9317900
2018-02-23,117.879997,118.309998,117.720001,118.129997,108.420265,9072900
2018-02-26,118.680000,118.910004,118.040001,118.169998,108.456985,8771600
2018-02-27,118.519997,118.660004,117.260002,118.000000,108.300964,12525700
2018-02-28,118.470001,118.830002,118.250000,118.750000,108.989296,9311600
2018-03-01,118.430000,119.620003,118.150002,119.320000,109.733322,12287700
2018-03-02,118.849998,118.930000,118.120003,118.349998,108.841255,10064300
2018-03-05,118.750000,118.800003,117.629997,118.029999,108.546967,5658200
2018-03-06,118.360001,118.680000,118.120003,118.139999,108.648102,5452000
2018-03-07,118.570000,118.680000,117.959999,118.010002,108.528549,4461800
2018-03-08,118.309998,118.989998,118.260002,118.690002,109.153915,7086700
2018-03-09,117.989998,118.269997,117.589996,117.910004,108.436607,6570400
2018-03-12,118.309998,118.660004,118.190002,118.589996,109.061966,5801300
2018-03-13,118.309998,119.370003,118.190002,119.190002,109.613739,7455300
2018-03-14,119.400002,120.400002,119.370003,120.239998,110.579384,10175000
2018-03-15,120.169998,120.489998,119.930000,120.239998,110.579384,6757900
2018-03-16,119.800003,120.010002,119.550003,119.809998,110.183937,6084300
2018-03-19,119.209999,119.970001,119.199997,119.430000,109.834480,8491200
2018-03-20,118.910004,119.220001,118.830002,118.949997,109.393051,5446000
2018-03-21,118.660004,119.419998,118.110001,119.080002,109.512573,9742400
2018-03-22,120.309998,120.820000,119.669998,120.260002,110.597794,12136600
2018-03-23,119.680000,120.309998,119.620003,120.169998,110.515007,7250400
2018-03-26,120.000000,120.449997,119.669998,119.709999,110.091965,8237900
2018-03-27,119.830002,121.120003,119.809998,120.989998,111.269142,9168500
2018-03-28,121.449997,121.639999,120.949997,121.309998,111.563408,7412500
2018-03-29,121.540001,122.290001,121.510002,121.900002,112.106026,9694300
2018-04-02,121.349998,122.360001,121.160004,121.879997,112.327209,12036500
2018-04-03,121.360001,121.480003,120.830002,120.940002,111.460854,9855000
2018-04-04,121.349998,121.459999,120.599998,120.690002,111.230499,6654300
2018-04-05,120.099998,120.269997,119.769997,119.790001,110.401039,7603700
2018-04-06,120.660004,121.150002,120.220001,121.099998,111.608360,8831200
2018-04-09,120.639999,121.300003,120.349998,121.300003,111.792679,6307500
2018-04-10,121.199997,121.379997,120.779999,121.080002,111.589890,6046000
2018-04-11,121.849998,121.889999,121.269997,121.510002,111.986221,5901300
2018-04-12,121.040001,121.070000,120.410004,120.620003,111.165939,6622800
2018-04-13,120.519997,121.129997,120.500000,120.900002,111.424034,4964000
2018-04-16,120.230003,120.970001,120.180000,120.940002,111.460854,4491300
2018-04-17,120.919998,121.580002,120.820000,121.269997,111.764999,5590400
2018-04-18,121.290001,121.339996,120.279999,120.300003,110.871063,8138400
2018-04-19,119.419998,119.529999,118.809998,119.320000,109.967880,9875800
2018-04-20,118.889999,119.129997,118.430000,118.459999,109.175278,7579400
2018-04-23,118.330002,118.620003,118.080002,118.489998,109.202911,7073200
2018-04-24,118.209999,118.449997,117.760002,117.949997,108.705208,8190800
2018-04-25,117.410004,117.650002,116.940002,117.160004,107.977150,6603800
2018-04-26,117.730003,118.129997,117.589996,117.980003,108.732872,6528600
2018-04-27,118.470001,118.949997,118.440002,118.889999,109.571564,5401800
2018-04-30,119.080002,119.559998,118.940002,119.099998,109.765076,8321100
2018-05-01,118.769997,118.839996,118.230003,118.410004,109.369766,7979200
2018-05-02,118.639999,118.870003,118.260002,118.279999,109.249718,4644000
2018-05-03,118.839996,119.309998,118.680000,118.809998,109.739220,6345300
2018-05-04,119.230003,119.230003,118.489998,118.989998,109.905479,4283500
2018-05-07,118.970001,119.019997,118.739998,118.800003,109.730003,3647800
2018-05-08,118.550003,119.000000,118.300003,118.690002,109.628403,6091200
2018-05-09,118.120003,118.419998,117.980003,117.980003,108.972603,7832500
2018-05-10,118.550003,118.980003,118.349998,118.930000,109.850060,7101500
2018-05-11,119.320000,119.360001,118.820000,119.230003,110.127182,4273400
2018-05-14,118.800003,118.989998,118.589996,118.599998,109.545258,4996200
2018-05-15,117.559998,117.580002,116.699997,117.250000,108.298355,12901000
2018-05-16,117.419998,117.529999,116.790001,116.800003,107.882706,6518000
2018-05-17,116.629997,116.820000,116.089996,116.209999,107.337769,7330300
2018-05-18,116.510002,117.290001,116.510002,117.209999,108.261398,9606500
2018-05-21,117.129997,117.379997,116.949997,117.269997,108.316826,4448500
2018-05-22,117.290001,117.349998,116.849998,117.089996,108.150574,4700700
2018-05-23,117.750000,118.110001,117.660004,117.940002,108.935692,9634000
2018-05-24,118.690002,119.059998,118.639999,118.879997,109.803879,8204100
2018-05-25,119.559998,119.839996,119.470001,119.620003,110.487373,8482800
2018-05-29,120.790001,122.519997,120.430000,122.239998,112.907341,21668100
2018-05-30,121.000000,121.480003,120.739998,121.419998,112.149956,11616300
2018-05-31,121.559998,121.980003,120.949997,121.220001,111.965225,10769900
2018-06-01,120.169998,120.709999,119.849998,120.300003,111.373695,8718800
2018-06-04,120.110001,120.139999,119.370003,119.430000,110.568207,7156500
2018-06-05,119.959999,120.160004,119.620003,119.709999,110.827423,5635900
2018-06-06,119.080002,119.099998,118.419998,118.739998,109.929398,7813300
2018-06-07,118.690002,120.489998,118.680000,119.889999,110.994110,13238300
2018-06-08,119.559998,119.849998,119.440002,119.529999,110.660774,6790600
2018-06-11,119.070000,119.389999,118.940002,119.309998,110.457108,6844200
2018-06-12,118.930000,119.459999,118.889999,119.339996,110.484901,6048200
2018-06-13,119.449997,119.639999,118.629997,119.279999,110.429352,8834700
2018-06-14,119.779999,120.300003,119.480003,120.269997,111.345879,10078800
2018-06-15,120.830002,121.089996,120.300003,120.379997,111.447731,7992800
2018-06-18,120.480003,120.559998,120.040001,120.269997,111.345879,4893700
2018-06-19,120.970001,121.230003,120.699997,120.970001,111.993927,6133300
2018-06-20,120.769997,120.790001,119.900002,119.910004,111.012589,6879100
2018-06-21,120.360001,120.750000,120.220001,120.540001,111.595840,7235800
2018-06-22,120.089996,120.620003,120.059998,120.529999,111.586578,4082500
2018-06-25,120.660004,121.110001,120.639999,120.800003,111.836540,8363700
2018-06-26,120.769997,121.029999,120.660004,120.970001,111.993927,5450000
2018-06-27,121.750000,122.180000,121.550003,122.110001,113.049339,8173400
2018-06-28,122.129997,122.250000,121.830002,122.139999,113.077103,7109500
2018-06-29,122.169998,122.500000,121.650002,121.720001,112.688286,11164700
2018-07-02,121.739998,121.750000,121.290001,121.349998,112.600143,9662000
2018-07-03,121.529999,122.029999,121.529999,122.000000,113.203270,3808800
2018-07-05,122.059998,122.529999,122.010002,122.349998,113.528023,3860400
2018-07-06,122.750000,122.919998,122.480003,122.750000,113.899216,4679900
2018-07-09,122.070000,122.209999,121.900002,121.959999,113.166145,5952700
2018-07-10,121.870003,122.129997,121.809998,121.949997,113.156868,5759700
2018-07-11,122.449997,122.550003,122.089996,122.419998,113.592995,6869100
2018-07-12,122.169998,122.470001,122.139999,122.410004,113.583702,4824700
2018-07-13,122.610001,122.870003,122.470001,122.720001,113.871368,4079000
2018-07-16,122.209999,122.290001,121.639999,122.209999,113.398109,5517100
2018-07-17,122.290001,122.389999,121.900002,121.980003,113.184738,3764300
2018-07-18,122.019997,122.040001,121.389999,121.489998,112.730026,6330000
2018-07-19,121.800003,122.449997,121.769997,122.260002,113.444527,6166700
2018-07-20,121.580002,121.589996,120.699997,120.760002,112.052681,10469500
